CC01145XX16,98330
CC00063BN06,15104,36
CC00072XX07,27600,39
CC00084XX11,31201,39
CC00097XX16,33701,39
CC00098BN17,33900,39
CC00143AN12,47501,39
CC00170XX06,56100,39
CC00272XX09,117900,39
CC00291XX12,93100,39
CC00307XX10,98800,39
CC00319XX14,117300,39
CC00341XX12,108000,39
CC00354XX08,112100,39
CC00371XX09,134700,39
CC00399XX21,123400,39
CC00444XX16,135101,39
CC00467XX14,139000,39
CC00501XX06,146500,39
CC00561XX09,159900,39
CC00642XX16,218100,39
CC00660XX09,215900,39
CC00698XX23,220400,39
CC00789XX23,21110,39
CC00793XX19,28610,39
CC00851XX10,42010,39
CC00898XX25,33330,39
CC00922XX15,44730,39
CC00926XX19,35330,39
CC00966XX18,46430,39
CC00974XX18,46931,39
CC01096XX17,76130,39
CC01145XX16,98330,39
