Task,Input ,Cohort_A_AUC,Cohort_A_min,Cohort_A_max,Cohort_B_AUC,Cohort_B_min,Cohort_B_max,Cohort_C_AUC,Cohort_C_min,Cohort_C_max,Cohort_D_AUC,Cohort_D_min,Cohort_D_max,Cohort_E_AUC,Cohort_E_min,Cohort_E_max
prematurity,Segmentation 52,0.725,0.7225,0.7275,0.789,0.7866,0.7914,0.787,0.7846,0.7894,0.754,0.7503,0.7577,0.425,0.425,0.425
prematurity,Segmentation 52 corrected,0.511,0.509,0.513,0.5,0.5,0.5,0.5,0.5,0.5,0.539,0.5378,0.5402,0.412,0.412,0.412
prematurity,Random 128,0.746,0.7442,0.7478,0.714,0.7115,0.7165,0.714,0.7118,0.7162,0.664,0.6611,0.6669,0.475,0.475,0.475
prematurity,Random 128 corrected,0.59,0.5863,0.5937,0.524,0.5207,0.5273,0.517,0.5137,0.5203,0.486,0.4833,0.4887,0.508,0.508,0.508
prematurity,Random 256,0.78,0.7782,0.7818,0.794,0.7913,0.7967,0.789,0.7866,0.7914,0.743,0.7403,0.7457,0.487,0.487,0.487
prematurity,Random 256 corrected,0.581,0.5775,0.5845,0.56,0.5569,0.5631,0.561,0.5577,0.5643,0.486,0.4838,0.4882,0.558,0.558,0.558
prematurity,Random 512,0.808,0.806,0.81,0.788,0.7862,0.7898,0.786,0.784,0.788,0.774,0.7716,0.7764,0.5,0.5,0.5
prematurity,Random 512 corrected,0.622,0.6181,0.6259,0.565,0.5619,0.5681,0.56,0.5569,0.5631,0.518,0.5153,0.5207,0.487,0.487,0.487
prematurity,Random 1024,0.801,0.7996,0.8024,0.808,0.807,0.809,0.808,0.8072,0.8088,0.734,0.7338,0.7342,0.5,0.5,0.5
prematurity,Random 1024 corrected,0.594,0.5897,0.5983,0.602,0.5996,0.6044,0.593,0.5905,0.5955,0.589,0.5849,0.5931,0.5,0.5,0.5
Cognitive,Segmentation 52,0.5,0.5,0.5,0.495,0.494,0.496,0.496,0.4948,0.4972,0.461,0.4598,0.4622,0.429,0.429,0.429
Cognitive,Segmentation 52 corrected,0.499,0.4988,0.4992,0.493,0.492,0.494,0.495,0.4934,0.4966,0.43,0.4286,0.4314,0.417,0.417,0.417
Cognitive,Random 128,0.492,0.4898,0.4942,0.517,0.5141,0.5199,0.521,0.5185,0.5235,0.531,0.5288,0.5332,0.488,0.488,0.488
Cognitive,Random 128 corrected,0.473,0.4706,0.4754,0.512,0.5091,0.5149,0.519,0.5161,0.5219,0.526,0.5219,0.5301,0.476,0.476,0.476
Cognitive,Random 256,0.501,0.4981,0.5039,0.528,0.5247,0.5313,0.526,0.5225,0.5295,0.489,0.487,0.491,0.488,0.488,0.488
Cognitive,Random 256 corrected,0.53,0.5273,0.5327,0.528,0.5247,0.5313,0.522,0.5185,0.5255,0.517,0.5139,0.5201,0.476,0.476,0.476
Cognitive,Random 512,0.515,0.5128,0.5172,0.499,0.4968,0.5012,0.502,0.5002,0.5038,0.481,0.48,0.482,0.488,0.488,0.488
Cognitive,Random 512 corrected,0.522,0.5198,0.5242,0.521,0.5181,0.5239,0.51,0.5073,0.5127,0.483,0.4814,0.4846,0.5,0.5,0.5
Cognitive,Random 1024,0.498,0.4974,0.4986,0.497,0.4968,0.4972,0.497,0.4968,0.4972,0.5,0.4998,0.5002,0.5,0.5,0.5
Cognitive,Random 1024 corrected,0.499,0.4988,0.4992,0.497,0.4968,0.4972,0.497,0.4968,0.4972,0.5,0.5,0.5,0.5,0.5,0.5
Language,Segmentation 52,0.498,0.4978,0.4982,0.469,0.468,0.47,0.46,0.459,0.461,0.519,0.5153,0.5227,0.526,0.526,0.526
Language,Segmentation 52 corrected,0.497,0.4966,0.4974,0.471,0.4696,0.4724,0.463,0.4618,0.4642,0.553,0.5503,0.5557,0.618,0.618,0.618
Language,Random 128,0.501,0.4986,0.5034,0.44,0.4365,0.4435,0.464,0.4607,0.4673,0.469,0.4665,0.4715,0.548,0.548,0.548
Language,Random 128 corrected,0.479,0.4768,0.4812,0.469,0.4653,0.4727,0.463,0.4595,0.4665,0.519,0.5145,0.5235,0.563,0.563,0.563
Language,Random 256,0.51,0.5071,0.5129,0.48,0.4773,0.4827,0.492,0.4891,0.4949,0.52,0.5178,0.5222,0.441,0.441,0.441
Language,Random 256 corrected,0.516,0.5138,0.5182,0.497,0.4935,0.5005,0.481,0.4779,0.4841,0.528,0.5243,0.5317,0.441,0.441,0.441
Language,Random 512,0.559,0.557,0.561,0.466,0.4629,0.4691,0.455,0.4526,0.4574,0.516,0.5131,0.5189,0.524,0.524,0.524
Language,Random 512 corrected,0.558,0.5555,0.5605,0.483,0.4799,0.4861,0.462,0.4591,0.4649,0.556,0.5529,0.5591,0.494,0.494,0.494
Language,Random 1024,0.534,0.5322,0.5358,0.501,0.4988,0.5032,0.504,0.502,0.506,0.52,0.5176,0.5224,0.555,0.555,0.555
Language,Random 1024 corrected,0.535,0.5319,0.5381,0.508,0.5055,0.5105,0.523,0.5206,0.5254,0.508,0.5035,0.5125,0.555,0.555,0.555
Motor,Segmentation 52,0.5,0.4998,0.5002,0.496,0.4956,0.4964,0.495,0.4946,0.4954,0.462,0.461,0.463,0.462,0.462,0.462
Motor,Segmentation 52 corrected,0.5,0.4998,0.5002,0.49,0.4894,0.4906,0.492,0.4916,0.4924,0.447,0.445,0.449,0.545,0.545,0.545
Motor,Random 128,0.49,0.4875,0.4925,0.531,0.5261,0.5359,0.53,0.5247,0.5353,0.557,0.5513,0.5627,0.53,0.53,0.53
Motor,Random 128 corrected,0.497,0.4964,0.4976,0.541,0.5386,0.5434,0.533,0.5271,0.5389,0.561,0.5583,0.5637,0.655,0.655,0.655
Motor,Random 256,0.519,0.5161,0.5219,0.542,0.5391,0.5449,0.537,0.5352,0.5388,0.514,0.5122,0.5158,0.515,0.515,0.515
Motor,Random 256 corrected,0.499,0.4961,0.5019,0.524,0.5216,0.5264,0.523,0.5201,0.5259,0.532,0.5289,0.5351,0.473,0.473,0.473
Motor,Random 512,0.554,0.5509,0.5571,0.555,0.5525,0.5575,0.558,0.5545,0.5615,0.526,0.5227,0.5293,0.446,0.446,0.446
Motor,Random 512 corrected,0.56,0.5596,0.5604,0.561,0.5575,0.5645,0.551,0.5463,0.5557,0.492,0.4898,0.4942,0.486,0.486,0.486
Motor,Random 1024,0.518,0.5166,0.5194,0.527,0.527,0.527,0.526,0.5258,0.5262,0.496,0.496,0.496,0.5,0.5,0.5
Motor,Random 1024 corrected,0.522,0.5204,0.5236,0.524,0.5238,0.5242,0.521,0.5192,0.5228,0.493,0.4926,0.4934,0.486,0.486,0.486
