Task,Input ,Cohort_A_R2,Cohort_A_min,Cohort_A_max,Cohort_B_R2,Cohort_B_min,Cohort_B_max,Cohort_C_R2,Cohort_C_min,Cohort_C_max,Cohort_D_R2,Cohort_D_min,Cohort_D_max,Cohort_E_R2,Cohort_E_min,Cohort_E_max
GA birth,Segmentation 52,0.536,0.5348,0.5372,0.567,0.5654,0.5686,0.588,0.5866,0.5894,0.367,0.3645,0.3695,0.287,0.287,0.287
GA birth,Segmentation 52 corrected,0.034,0.0324,0.0356,-0.049,-0.051,-0.047,-0.05,-0.052,-0.048,-0.094,-0.0985,-0.0895,-6.487,-6.4874,-6.4866
GA birth,Random 128,0.537,0.5348,0.5392,0.502,0.4987,0.5053,0.545,0.5421,0.5479,0.273,0.2652,0.2808,0.173,0.173,0.173
GA birth,Random 128 corrected,-0.085,-0.0883,-0.0817,-0.252,-0.2569,-0.2471,-0.252,-0.2565,-0.2475,-0.383,-0.3875,-0.3785,-7.987,-7.9872,-7.9868
GA birth,Random 256,0.211,0.2047,0.2173,-0.108,-0.1174,-0.0986,0.029,0.0208,0.0372,0.335,0.3311,0.3389,0.417,0.417,0.417
GA birth,Random 256 corrected,-0.282,-0.2881,-0.2759,-0.47,-0.4773,-0.4627,-0.447,-0.4533,-0.4407,-1.296,-1.3054,-1.2866,-4.596,-4.5962,-4.5958
GA birth,Random 512,0.43,0.4271,0.4329,0.537,0.5352,0.5388,0.551,0.5486,0.5534,0.55,0.5486,0.5514,0.533,0.533,0.533
GA birth,Random 512 corrected,-0.741,-0.7469,-0.7351,-0.856,-0.8631,-0.8489,-0.842,-0.8483,-0.8357,-1.017,-1.0305,-1.0035,-1.054,-1.054,-1.054
GA birth,Random 1024,0.682,0.6808,0.6832,0.716,0.715,0.717,0.721,0.7202,0.7218,0.613,0.6116,0.6144,0.644,0.644,0.644
GA birth,Random 1024 corrected,-0.866,-0.8719,-0.8601,-0.807,-0.8127,-0.8013,-0.804,-0.8101,-0.7979,-0.981,-0.9884,-0.9736,-2.062,-2.062,-2.062
Cognitive,Segmentation 52,-0.006,-0.0072,-0.0048,-0.075,-0.0766,-0.0734,-0.073,-0.0746,-0.0714,-0.292,-0.2951,-0.2889,-0.092,-0.092,-0.092
Cognitive,Segmentation 52 corrected,-0.016,-0.0174,-0.0146,-0.067,-0.0688,-0.0652,-0.066,-0.0678,-0.0642,-0.303,-0.3067,-0.2993,-0.149,-0.149,-0.149
Cognitive,Random 128,-0.16,-0.1629,-0.1571,-0.115,-0.1181,-0.1119,-0.116,-0.1197,-0.1123,-0.237,-0.2419,-0.2321,-0.331,-0.331,-0.331
Cognitive,Random 128 corrected,-0.121,-0.1237,-0.1183,-0.136,-0.1393,-0.1327,-0.134,-0.1373,-0.1307,-0.35,-0.3555,-0.3445,-0.273,-0.273,-0.273
Cognitive,Random 256,-0.513,-0.5181,-0.5079,-0.48,-0.4861,-0.4739,-0.454,-0.4601,-0.4479,-0.338,-0.3453,-0.3307,-0.44,-0.44,-0.44
Cognitive,Random 256 corrected,-0.602,-0.6077,-0.5963,-0.536,-0.5433,-0.5287,-0.525,-0.5317,-0.5183,-0.505,-0.5126,-0.4974,-0.328,-0.328,-0.328
Cognitive,Random 512,-1.045,-1.0536,-1.0364,-0.509,-0.5159,-0.5021,-0.526,-0.5327,-0.5193,-0.157,-0.1619,-0.1521,-0.381,-0.381,-0.381
Cognitive,Random 512 corrected,-1.065,-1.0744,-1.0556,-0.464,-0.4701,-0.4579,-0.491,-0.4975,-0.4845,-0.071,-0.0757,-0.0663,-0.471,-0.471,-0.471
Cognitive,Random 1024,-0.561,-0.5663,-0.5557,-0.293,-0.2971,-0.2889,-0.262,-0.2659,-0.2581,0.027,0.0241,0.0299,-0.077,-0.077,-0.077
Cognitive,Random 1024 corrected,-0.489,-0.4939,-0.4841,-0.308,-0.3125,-0.3035,-0.291,-0.2951,-0.2869,0.036,0.0329,0.0391,-0.091,-0.091,-0.091
Language,Segmentation 52,-0.055,-0.0564,-0.0536,-0.034,-0.0358,-0.0322,-0.056,-0.0572,-0.0548,-0.246,-0.2487,-0.2433,-0.072,-0.072,-0.072
Language,Segmentation 52 corrected,-0.061,-0.0624,-0.0596,-0.059,-0.0598,-0.0582,-0.065,-0.0666,-0.0634,-0.323,-0.3261,-0.3199,-0.07,-0.07,-0.07
Language,Random 128,-0.159,-0.1615,-0.1565,-0.271,-0.2739,-0.2681,-0.272,-0.2736,-0.2704,-0.428,-0.4319,-0.4241,-0.486,-0.486,-0.486
Language,Random 128 corrected,-0.149,-0.1508,-0.1472,-0.244,-0.2471,-0.2409,-0.242,-0.2449,-0.2391,-0.452,-0.4569,-0.4471,-0.556,-0.556,-0.556
Language,Random 256,-0.414,-0.4181,-0.4099,-0.494,-0.5024,-0.4856,-0.511,-0.5165,-0.5055,-0.551,-0.5581,-0.5439,-0.437,-0.437,-0.437
Language,Random 256 corrected,-0.373,-0.3773,-0.3687,-0.55,-0.5565,-0.5435,-0.562,-0.5683,-0.5557,-0.59,-0.5998,-0.5802,-0.449,-0.449,-0.449
Language,Random 512,-0.723,-0.7295,-0.7165,-0.971,-0.9767,-0.9653,-1.027,-1.0329,-1.0211,-0.443,-0.4469,-0.4391,-0.259,-0.259,-0.259
Language,Random 512 corrected,-0.61,-0.6159,-0.6041,-0.918,-0.9249,-0.9111,-0.899,-0.9068,-0.8912,-0.358,-0.3627,-0.3533,-0.303,-0.303,-0.303
Language,Random 1024,-0.543,-0.5479,-0.5381,-0.334,-0.3389,-0.3291,-0.344,-0.3481,-0.3399,-0.149,-0.1514,-0.1466,-0.177,-0.177,-0.177
