Task,Input ,Cohort_A_R2,Cohort_A_min,Cohort_A_max,Cohort_B_R2,Cohort_B_min,Cohort_B_max,Cohort_C_R2,Cohort_C_min,Cohort_C_max,Cohort_D_R2,Cohort_D_min,Cohort_D_max
GA birth,Segmentation 52 corrected,0.005,0.0038,0.0062,-0.077,-0.0795,-0.0745,-0.17,-0.1733,-0.1667,-0.867,-0.8672,-0.8668
GA birth,Random 128 corrected,-0.094,-0.0993,-0.0887,-0.122,-0.1253,-0.1187,-0.309,-0.317,-0.301,-1.07,-1.07,-1.07
GA birth,Random 256 corrected,-0.495,-0.5032,-0.4868,-0.622,-0.6302,-0.6138,-0.809,-0.817,-0.801,-2.91,-2.9102,-2.9098
GA birth,Random 512 corrected,-0.974,-0.983,-0.965,-0.928,-0.9353,-0.9207,-1.036,-1.0501,-1.0219,-1.758,-1.758,-1.758
GA birth,Random 1024 corrected,-0.878,-0.8843,-0.8717,-0.801,-0.8053,-0.7967,-0.631,-0.6377,-0.6243,-2.331,-2.331,-2.331
Cognitive,Segmentation 52 corrected,0.003,0.0018,0.0042,-0.01,-0.011,-0.009,-0.261,-0.2637,-0.2583,-0.414,-0.414,-0.414
Cognitive,Random 128 corrected,-0.123,-0.1255,-0.1205,-0.039,-0.0429,-0.0351,-0.48,-0.4849,-0.4751,-1.138,-1.138,-1.138
Cognitive,Random 256 corrected,-0.529,-0.5343,-0.5237,-0.454,-0.4591,-0.4489,-0.618,-0.6286,-0.6074,-0.48,-0.48,-0.48
Cognitive,Random 512 corrected,-1.153,-1.1632,-1.1428,-0.478,-0.4862,-0.4698,-0.366,-0.3719,-0.3601,-0.355,-0.355,-0.355
Cognitive,Random 1024 corrected,-0.529,-0.5363,-0.5217,-0.264,-0.2671,-0.2609,-0.303,-0.3073,-0.2987,-0.29,-0.29,-0.29
Language,Segmentation 52 corrected,-0.064,-0.0662,-0.0618,-0.047,-0.0488,-0.0452,-0.202,-0.2051,-0.1989,-0.491,-0.491,-0.491
Language,Random 128 corrected,-0.245,-0.2477,-0.2423,-0.353,-0.3569,-0.3491,-0.681,-0.6902,-0.6718,-0.638,-0.638,-0.638
Language,Random 256 corrected,-0.474,-0.4773,-0.4707,-0.357,-0.3629,-0.3511,-0.429,-0.4345,-0.4235,-2.343,-2.343,-2.343
Language,Random 512 corrected,-0.8,-0.8076,-0.7924,-0.475,-0.4801,-0.4699,-0.428,-0.4329,-0.4231,-0.525,-0.525,-0.525
Language,Random 1024 corrected,-0.583,-0.5867,-0.5793,-0.239,-0.2423,-0.2357,-0.272,-0.2775,-0.2665,-0.296,-0.296,-0.296
Motor,Segmentation 52 corrected,-0.108,-0.1098,-0.1062,-0.015,-0.0168,-0.0132,-0.146,-0.1493,-0.1427,-0.632,-0.632,-0.632
Motor,Random 128 corrected,-0.227,-0.2299,-0.2241,-0.206,-0.2095,-0.2025,-0.415,-0.4224,-0.4076,-1.52,-1.52,-1.52
Motor,Random 256 corrected,-0.525,-0.5299,-0.5201,-0.508,-0.5133,-0.5027,-0.723,-0.7306,-0.7154,-0.926,-0.926,-0.926
Motor,Random 512 corrected,-1.224,-1.233,-1.215,-0.68,-0.6871,-0.6729,-0.44,-0.4478,-0.4322,-0.476,-0.476,-0.476
Motor,Random 1024 corrected,-0.549,-0.5549,-0.5431,-0.37,-0.3724,-0.3676,-0.275,-0.2799,-0.2701,-0.367,-0.367,-0.367
